Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,1233
design__instance__area,22939.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,1
design__max_cap_violation__count__corner:nom_tt_025C_5v00,1
power__internal__total,0.000003780715360335307
power__switching__total,0.000001224817538059142
power__leakage__total,1.405000915610799E-7
power__total,0.000005146032890479546
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.2705409028933412
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.27052963412932257
timing__hold__ws__corner:nom_tt_025C_5v00,0.38254844819127454
timing__setup__ws__corner:nom_tt_025C_5v00,19992.513099799395
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.382548
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,33325.558594
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,0
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,1
design__max_cap_violation__count__corner:nom_ss_125C_4v50,1
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.28608990985987987
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.2860785855847084
timing__hold__ws__corner:nom_ss_125C_4v50,0.9549810101897382
timing__setup__ws__corner:nom_ss_125C_4v50,19985.224409053248
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,0.954981
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,33319.175781
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,1
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,1
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.26356098605126854
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.2635497450428263
timing__hold__ws__corner:nom_ff_n40C_5v50,0.13738210957701724
timing__setup__ws__corner:nom_ff_n40C_5v50,19995.739987092547
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.137382
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,33328.355469
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2622301616740121
clock__skew__worst_setup,0.2622210023337999
timing__hold__ws,0.13519635793546916
timing__setup__ws,19985.058881012843
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.135196
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,33318.992188
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 120.0 250.0
design__core__bbox,6.72 15.68 113.12 231.28
design__io,13
design__die__area,30000
design__core__area,22939.8
design__instance__count__stdcell,691
design__instance__area__stdcell,13612.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.593397
design__instance__utilization__stdcell,0.593397
design__rows,55
design__rows:GF018hv5v_mcu_sc7,55
design__sites,10450
design__sites:GF018hv5v_mcu_sc7,10450
design__instance__count__class:inverter,97
design__instance__area__class:inverter,851.738
design__instance__count__class:sequential_cell,64
design__instance__area__class:sequential_cell,4816.27
design__instance__count__class:multi_input_combinational_cell,184
design__instance__area__class:multi_input_combinational_cell,3400.36
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,110
design__instance__area__class:endcap_cell,482.944
design__instance__count__class:tap_cell,142
design__instance__area__class:tap_cell,623.437
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,11670.1
design__violations,0
design__instance__count__class:timing_repair_buffer,63
design__instance__area__class:timing_repair_buffer,2168.86
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,31
design__instance__area__class:clock_buffer,1268.83
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,2822
global_route__wirelength,20538
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,430
route__net__special,2
route__drc_errors__iter:0,58
route__wirelength__iter:0,12268
route__drc_errors__iter:1,2
route__wirelength__iter:1,12170
route__drc_errors__iter:2,3
route__wirelength__iter:2,12178
route__drc_errors__iter:3,0
route__wirelength__iter:3,12184
route__drc_errors,0
route__wirelength,12184
route__vias,2386
route__vias__singlecut,2386
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,347.7
design__instance__count__class:fill_cell,542
design__instance__area__class:fill_cell,9327.4
timing__unannotated_net__count__corner:nom_tt_025C_5v00,14
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,14
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,14
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
